# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA1_questionCorrect==QA1_questionCorrect', 'avgLevelTime <= 360'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA1_questionCorrect==QA1_questionCorrect, output_shape: (5980, 1073)
# Query: avgLevelTime <= 360, output_shape: (5880, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['completed', 'totalLevelTime']
# *arg* lvlrange = range(0, 35)
# *arg* finalfeats = ['sum_lvl_0_to_34_completed', 'sum_lvl_0_to_34_totalLevelTime', 'sum_random_complete_count']
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_34_completed,sum_lvl_0_to_34_totalLevelTime,sum_random_complete_count,label
19110112133306628,10.0,1138.0,1.0,1
19110112140517136,10.0,823.0,3.0,1
19110112145577644,10.0,544.0,3.0,1
19110112154450708,9.0,779.0,0.0,1
19110112155906330,9.0,403.0,6.0,1
19110112170093970,13.0,1119.0,10.0,2
19110112183697756,13.0,1523.0,1.0,0
19110112185070516,10.0,270.0,2.0,1
19110112190665430,16.0,455.0,0.0,1
19110112190713984,14.0,479.0,0.0,1
19110112190756988,14.0,394.0,0.0,1
19110112200932070,14.0,470.0,0.0,1
19110112201268430,9.0,348.0,3.0,1
19110112220210148,22.0,1433.0,3.0,0
19110112230061012,9.0,477.0,3.0,1
19110112230284284,9.0,532.0,1.0,1
19110112293996932,9.0,405.0,0.0,1
19110112305423276,14.0,539.0,0.0,1
19110112322246270,11.0,354.0,9.0,1
19110112323416670,15.0,1784.0,7.0,0
19110112351393464,19.0,1512.0,0.0,0
19110112352627892,10.0,534.0,10.0,1
19110112352661870,10.0,312.0,39.0,2
19110112355946484,11.0,557.0,13.0,2
19110112365884324,24.0,1651.0,5.0,0
19110112365897788,14.0,456.0,0.0,1
19110112374187908,9.0,566.0,0.0,1
19110112375580510,23.0,2283.0,0.0,0
19110112380399496,27.0,1292.0,0.0,0
19110112382595784,10.0,438.0,24.0,2
19110112393391790,9.0,520.0,0.0,1
19110112395522844,9.0,766.0,8.0,1
19110112403474150,14.0,500.0,0.0,1
19110112432329696,14.0,672.0,0.0,1
19110112433205330,9.0,227.0,2.0,1
19110112435107420,9.0,1628.0,12.0,0
19110112460549080,10.0,668.0,5.0,1
19110112465369868,9.0,209.0,0.0,1
19110112514782492,14.0,1209.0,4.0,0
19110112525878890,14.0,913.0,0.0,1
19110112531639732,9.0,778.0,0.0,1
19110112532483710,14.0,860.0,0.0,1
19110112535252176,10.0,609.0,16.0,2
19110112544209372,17.0,1079.0,3.0,0
19110112554102580,18.0,797.0,2.0,1
19110112572525660,23.0,954.0,0.0,0
19110112573929730,17.0,819.0,0.0,1
19110112580127970,20.0,488.0,2.0,1
19110112584533336,19.0,671.0,0.0,1
19110112585212936,9.0,156.0,0.0,1
19110113001531416,9.0,326.0,8.0,1
19110113015766124,10.0,230.0,3.0,1
19110113031235416,9.0,327.0,0.0,1
19110113031759296,9.0,245.0,0.0,1
19110113053499332,18.0,680.0,4.0,1
19110113054491096,10.0,249.0,2.0,1
19110113070479484,9.0,214.0,7.0,1
19110113074696300,16.0,501.0,0.0,1
19110113091037310,9.0,306.0,0.0,1
19110113104393850,10.0,452.0,6.0,1
19110113111657428,17.0,487.0,0.0,1
19110113132450530,8.0,233.0,0.0,1
19110113145965910,12.0,281.0,0.0,1
19110113151145436,9.0,233.0,0.0,1
19110113163094092,14.0,880.0,0.0,1
19110113193044636,14.0,678.0,1.0,1
19110113200557416,8.0,649.0,5.0,1
19110113214639960,20.0,948.0,0.0,0
19110113240526460,15.0,235.0,3.0,1
19110113241375810,9.0,621.0,0.0,1
19110113241549890,14.0,503.0,0.0,1
19110113243415924,23.0,1213.0,5.0,0
19110113243672316,9.0,368.0,13.0,2
19110113263995892,14.0,901.0,0.0,1
19110113265026404,11.0,446.0,12.0,2
19110113271849930,14.0,661.0,0.0,1
19110113274822612,13.0,721.0,5.0,1
19110113281622344,9.0,465.0,8.0,1
19110113282643270,15.0,1446.0,2.0,0
19110113282927964,28.0,1175.0,21.0,2
19110113283471424,14.0,1002.0,8.0,1
19110113283797556,21.0,1548.0,0.0,0
19110113284022830,22.0,1852.0,0.0,0
