# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20191201_to_20191231_de09c18_proc.zip
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/WAVES/WAVES_20200101_to_20200131_de09c18_proc.zip
# *arg* filter_args = {'query_list': ['QA3_questionCorrect==QA3_questionCorrect'], 'one_query': False, 'fillna': 0, 'verbose': False}
# Query: Intial Shape, output_shape: (18284, 1073)
# Query: QA3_questionCorrect==QA3_questionCorrect, output_shape: (1348, 1073)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False}
# *arg* lvlfeats = ['closenessSlope', 'succeedCount', 'totalGoodMoveCount']
# *arg* lvlrange = range(0, 17)
# *arg* finalfeats = ['sum_lvl_0_to_16_closenessSlope', 'sum_lvl_0_to_16_succeedCount', 'sum_lvl_0_to_16_totalGoodMoveCount']
# Original Num Rows: 1348
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 1275
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=2, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=3, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=4, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessionID,sum_lvl_0_to_16_closenessSlope,sum_lvl_0_to_16_succeedCount,sum_lvl_0_to_16_totalGoodMoveCount,label
19110213160339450,-565.0098664289983,69.0,81.0,3
19110213160779156,-745.9722066349821,68.0,147.0,1
19110213164994150,-791.0116429835432,48.0,148.0,3
19110213170262544,-660.7136014154976,85.0,134.0,1
19110213170567490,-221.34264875262969,43.0,71.0,3
19110213170956520,-698.9800644036383,79.0,152.0,1
19110213174711350,-369.80401289647193,56.0,85.0,3
19110213180689790,-498.1608171238206,44.0,77.0,3
19110213183332036,-415.42846022331446,64.0,108.0,3
19110213183610876,-544.041117520065,50.0,51.0,0
19110213184038496,-940.6112708200288,45.0,55.0,0
19110213185875740,-258.63305541253,28.0,39.0,0
19110213192785984,-922.3788384277553,64.0,101.0,3
19110213194362790,-190.36170984584874,99.0,80.0,1
19110213205083350,-269.13639460208856,46.0,67.0,3
19110213215943144,-683.7757795718004,56.0,62.0,3
19110213262652030,-684.7544833892092,44.0,38.0,0
19110213270042292,-647.4745413341184,34.0,33.0,0
19110213313530596,-972.8778616339708,34.0,32.0,0
19110213331710970,-791.9904681187535,35.0,46.0,0
19110213345771900,-402.06555597772433,52.0,69.0,3
19110213353724496,-628.4372695722795,66.0,69.0,3
19110213372723770,-456.08479087432056,31.0,58.0,0
19110213374650456,-284.02210564991736,49.0,45.0,0
19110213402686970,-193.05248800235316,42.0,71.0,3
19110213422288736,-305.068112552433,73.0,142.0,1
19110213443918630,-494.39760526437385,26.0,42.0,0
19110214052997740,-700.7916911033885,57.0,44.0,0
19110214191165188,-313.27343391847893,34.0,352.0,2
19110214375437980,-316.5826839323275,27.0,69.0,0
19110214380178624,-890.4928817480851,26.0,33.0,0
19110214380215996,-361.69713326930065,21.0,48.0,0
19110215032719012,-1161.9550949817415,27.0,44.0,0
19110215064145424,-719.0157119865105,29.0,101.0,0
19110215071264668,-923.4469741205656,33.0,51.0,0
19110216013050316,-199.20068955089164,61.0,100.0,3
19110216111057250,-1120.1321515440304,45.0,46.0,0
19110217112920324,-365.2369329291981,27.0,75.0,0
19110218112223784,-749.8652156051785,34.0,62.0,0
19110218312565332,-977.7756219031314,68.0,88.0,3
19110218353653440,-354.6752928440542,27.0,255.0,2
19110218520366220,-998.1543042452879,25.0,41.0,0
19110219084030416,-643.7756456546193,32.0,41.0,0
