# Metadata:
# Import from fhttps://opengamedata.fielddaylab.wisc.edu/data/LAKELAND/LAKELAND_20191201_to_20191231_de09c18_proc.zip
# Import from fData/Raw Log Data/LAKELAND_20200101_to_20200131_a9720c1_proc.zip
# *arg* filter_args = {'query_list': ['debug == 0', 'sess_ActiveEventCount >= 10', 'sessDuration >= 300', '_continue == 0'], 'one_query': False, 'fillna': 0, 'verbose': True}
# Query: Intial Shape, output_shape: (32227, 1647)
# Query: debug == 0, output_shape: (32221, 1647)
# Query: sess_ActiveEventCount >= 10, output_shape: (26934, 1647)
# Query: sessDuration >= 300, output_shape: (16109, 1647)
# Query: _continue == 0, output_shape: (10591, 1647)
# Filled NaN with 0
# *arg* new_feat_args = {'verbose': False, 'avg_tile_hover_lvl_range': None}
# *arg* lvlfeats = ['count_blooms', 'count_deaths', 'count_farmfails', 'count_food_produced', 'count_milk_produced']
# *arg* lvlrange = range(0, 2)
# Describe Level Feats lvls 0 to 1. Assuming WINDOW_SIZE_SECONDS=300 and WINDOW_OVERLAP_SECONDS=30, filtered by (sessDuration > 570)
# *arg* finalfeats = ['avg_lvl_0_to_1_count_deaths', 'avg_lvl_0_to_1_count_farmfails', 'avg_lvl_0_to_1_count_food_produced', 'avg_lvl_0_to_1_count_milk_produced', 'avg_lvl_0_to_1_count_blooms']
# Original Num Rows: 6712
# *arg* zthresh = 3
# Removed points with abs(ZScore) >= 3. Reduced num rows: 6448
# LogTransform using np.long1p
# Scaled with scikitlearn RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
#              with_scaling=True)
# PCA df calculated with scikitlearn PCA(copy=True, iterated_power='auto', n_components=2, random_state=None,
#     svd_solver='auto', tol=0.0, whiten=False)
# Cluster on PCA dims
# Labels calculated via clusterer: KMeans(algorithm='auto', copy_x=True, init='k-means++', max_iter=300,
#        n_clusters=7, n_init=10, n_jobs=None, precompute_distances='auto',
#        random_state=None, tol=0.0001, verbose=0)

sessID,num_play,avg_lvl_0_to_1_count_deaths,avg_lvl_0_to_1_count_farmfails,avg_lvl_0_to_1_count_food_produced,avg_lvl_0_to_1_count_milk_produced,avg_lvl_0_to_1_count_blooms,label
19110016394884064,1,0.0,2.5,8.0,1.0,0.0,5
19110016481647444,1,0.0,2.0,4.0,0.0,0.0,0
19110016521452830,1,0.0,2.0,5.0,0.0,0.0,0
19110017171596256,1,0.0,2.5,5.0,0.0,0.0,0
19110017174485256,1,0.0,1.5,10.0,0.5,0.0,5
19110017174549464,1,0.0,2.0,10.0,0.0,0.0,2
19110017184476940,1,0.0,2.0,8.0,0.5,0.0,5
19110017240952812,1,0.0,0.5,3.0,0.0,0.0,0
19110017284418372,1,0.0,3.0,10.0,0.0,0.0,2
19110017285950680,1,0.0,0.0,1.0,0.0,0.0,3
19110017393013264,1,0.5,3.0,12.0,0.0,0.0,2
19110017511012824,1,0.0,1.5,6.0,0.0,0.0,0
19110017523518884,1,0.0,3.0,10.0,0.0,0.0,2
19110017530024836,2,0.0,3.0,8.0,0.5,0.0,5
19110017560505716,1,0.0,2.0,7.0,0.0,0.0,2
19110018041082170,1,0.0,4.0,12.0,0.5,0.0,5
19110018075132624,1,0.5,4.0,7.0,0.5,0.0,5
19110018091918692,1,0.0,2.0,12.0,0.0,0.0,2
19110018121027292,1,0.5,1.5,5.0,0.0,0.0,0
19110018124471304,3,0.0,3.0,12.0,0.5,0.0,5
19110018194190652,1,0.0,13.5,58.0,3.0,0.0,4
19110018263611428,1,1.0,8.5,26.0,1.0,0.5,1
19110018270894160,1,0.0,2.0,11.0,0.0,0.0,2
19110018300112784,1,0.0,3.0,8.0,0.5,0.0,5
19110018325551136,1,0.0,2.0,4.0,0.0,0.0,0
19110018341205628,1,0.0,4.0,9.0,0.0,0.0,2
19110018391360470,1,0.0,2.0,5.0,0.5,0.0,5
19110018442402724,1,0.0,7.5,41.0,2.0,0.0,1
19110018450701030,2,0.0,0.5,2.0,0.0,0.0,3
19110018461360620,1,0.0,4.0,12.0,0.0,0.0,2
19110018463948950,1,0.0,0.5,2.0,0.0,0.0,3
19110018474239250,3,0.0,0.0,0.0,0.0,0.0,3
19110018541897900,1,0.0,4.5,19.0,0.0,0.0,6
19110018560604900,1,0.0,6.5,15.0,1.0,0.0,1
19110018562531040,1,0.0,4.5,19.0,0.0,0.0,6
19110018584139372,1,0.0,2.5,10.0,0.5,0.0,5
19110019054942596,1,0.0,1.5,0.0,0.0,0.0,3
19110019084011120,1,0.0,6.5,34.0,0.0,0.0,6
19110019091866692,1,0.0,1.5,3.0,0.0,0.0,0
19110019115842456,1,0.0,4.5,21.0,0.0,0.0,6
19110019261459470,1,0.0,2.0,4.0,0.0,0.0,0
19110019354420096,1,0.0,4.5,48.0,9.0,0.0,4
19110019384319640,1,0.0,13.5,57.0,4.0,0.0,4
19110019405771370,1,0.0,14.0,68.0,0.0,0.0,6
19110019432561270,1,0.0,2.5,6.0,0.0,0.0,2
19110019510629372,1,0.5,2.5,9.0,0.5,0.0,5
19110019554282828,1,0.0,1.0,6.0,0.0,0.0,0
19110019570180980,1,0.0,1.5,4.0,0.0,0.0,0
19110020011651000,1,0.0,3.0,13.0,0.0,0.0,2
19110020130234624,2,0.0,0.0,1.0,0.0,0.0,3
19110020144438452,1,0.0,0.5,2.0,0.0,0.0,3
19110020195134016,1,0.0,2.0,6.0,0.0,0.0,0
19110020211109250,1,0.0,1.5,6.0,0.0,0.0,0
19110020362715484,1,0.5,11.5,20.0,4.5,0.0,4
19110020371436330,2,0.0,6.0,19.0,3.0,0.0,1
19110021005071270,1,0.0,1.5,4.0,0.0,0.0,0
19110021412008416,2,0.0,1.0,4.0,0.0,0.0,0
19110021512496180,1,0.0,2.5,35.0,6.0,0.0,4
19110021585224536,1,0.0,1.0,6.0,0.0,0.0,0
19110022092678260,1,0.0,2.5,22.0,0.5,0.0,5
19110022093264348,1,0.0,0.0,3.0,0.0,0.0,3
19110022154182324,1,0.0,5.5,11.0,1.0,0.0,1
19110022274676896,2,0.0,3.0,11.0,0.5,0.0,5
19110022301481936,1,1.0,2.0,6.0,0.0,0.0,2
19110022312588136,1,1.0,1.5,5.0,0.5,0.0,5
19110022415271810,1,0.0,1.5,4.0,0.0,0.0,0
19110023320590484,1,0.5,0.5,0.0,0.0,0.0,3
19110107120307380,1,0.0,3.5,15.0,0.0,0.0,2
19110107161777508,1,0.0,1.5,6.0,0.0,0.0,0
19110107221233804,1,0.0,0.5,1.0,0.0,0.0,3
19110107320244410,1,0.0,3.0,32.0,0.0,0.0,6
19110107403058452,1,0.0,10.0,19.0,3.5,0.0,4
19110107405732990,2,0.5,9.5,26.0,2.5,0.0,1
19110107444739400,1,0.5,2.0,8.0,0.0,0.0,2
19110107463932870,2,0.0,1.5,5.0,0.0,0.0,0
19110107500880990,1,0.0,1.5,5.0,0.0,0.0,0
19110107531332976,1,0.5,2.0,7.0,0.0,0.0,2
19110107534122052,1,0.5,3.0,9.0,0.0,0.0,2
19110107551811296,1,0.5,5.5,18.0,0.5,0.0,6
19110107552517590,1,0.0,1.5,4.0,0.0,0.0,0
19110107553300416,1,0.5,3.0,11.0,0.5,0.0,5
19110107560078310,1,0.0,1.5,4.0,0.0,0.0,0
19110107571110188,1,0.0,4.5,17.0,1.0,0.0,1
19110108145148144,1,0.0,1.5,7.0,0.5,0.0,5
19110108182464336,1,0.5,2.0,5.0,0.0,0.0,0
19110108190486948,3,0.0,2.5,6.0,0.0,0.0,2
19110108234041790,1,0.0,7.5,27.0,0.5,0.5,6
19110108292533572,1,0.0,1.5,3.0,0.0,0.0,0
19110108294848292,1,0.0,2.0,6.0,0.0,0.0,0
